topic_id,topic_label,n_speeches,Government_count,Government_terms,Opposition_count,Opposition_terms,Other_count,Other_terms
0,"assembly, national assembly, national, gentlemen, ladies gentlemen",58,13,"amendment, assembly, national, national assembly, day, decision, members, citizens, debate, decision amendment, monday, servants, servants national",7,"gentlemen, ladies, ladies gentlemen, going, palace, presidential, presidential palace",38,"assembly, day, morning, dialogue, good, good morning, national, national assembly, new, order, order day, point, session, thank, vote"
1,"women, men, want, people, violence",44,0,,8,"women, arabia, saudi, saudi arabia, rights, women rights, prime, alexander, alexander croo, arabia seat, commission, croo, didier, didier reynders, minister",36,"women, people, want, men, law, violence, day, violence women, citizens, equality, hate, justice, victims, women men, ana"
2,"rights, country, republic, free, democracy",42,1,,0,,41,"rights, country, republic, children, democracy, france, free, won, day, equal, freedom, french, just, let, life"
3,"jewish, community, people, lost, years",38,0,,0,,38,"people, community, jewish, extermination, holocaust, lost, years, 1945, allied, auschwitz, beginning, camps, concentration, gentlemen, german"
4,"data, protection, belgium, law, does",15,0,,0,,15,"oda, data, gdpr, belgium, internet, law, protection, amazon, authority, complaint, does, european, facebook, facebook amazon, level"
5,"listen, today, say, poland, stop",14,0,,13,"poles, today, listen, listen poles, say, tell, broke, citizens, know, lot, nation, poland, poles say, state, today broke",1,
