group,n_speeches,overall_sentiment_mean,overall_sentiment_std,ORG_sentiment_mean,ORG_sentiment_std,ORG_n_speeches,ORG_total_mentions,LOC_sentiment_mean,LOC_sentiment_std,LOC_n_speeches,LOC_total_mentions,MISC_sentiment_mean,MISC_sentiment_std,MISC_n_speeches,MISC_total_mentions
Government,2,0.7337133756271165,0.3619086765970936,0.5285667576827109,0.666707285038632,2,10,0.23532380784551302,,1,6,0.6413179283263162,0.5072530503410022,2,9
Opposition,2,0.5030236703395967,0.1486030359418056,0.5772222392261028,0.11680825472461977,2,5,0.5448655146484573,0.028846447495598893,2,11,0.7025867901328537,0.03305409473031499,2,11
