topic_id,topic_label,n_speeches,Government_count,Government_terms,Opposition_count,Opposition_terms,Other_count,Other_terms
0,"support, like, mr, amendment, respectable",385,53,"health, care, insurers, money, health insurers, private, company, does, legitimacy, like, premium, chamber, healthcare, insured, little",44,"law, important, need, procedure, bih, council, council ministers, hear, let, ministers, opportunity, point, position, 99, accordance",288,"government, nicotine, people, products, committee, law, work, young, health, course, use, young people, children, make, nicotine products"
1,"respectable, like, amendment, mr, support",14,1,,1,,12,"president, like, madam, madam president, president like, respectable, respectable president"
