topic_id,topic_label,n_speeches,Government_count,Government_terms,Opposition_count,Opposition_terms,Other_count,Other_terms
0,"answer, debate, good, order, thank",495,130,"agenda, members, national, minister, protection, albania, law, draft, decision, government, meeting, mps, republic, commission, list",123,"proposal, people, republic, poland, assembly, committee, law, republic poland, algorithm, australia, minister, state, debate, fossil, fossil fuels",242,"shipping, mr, government, time, transport, important, climate, municipalities, question, social, country, like, environmental, parliament, subject"
1,"thank, good, afternoon, good morning, attention",13,2,,6,thank,5,"thank, good"
