topic_id,topic_label,n_speeches,Government_count,Government_terms,Opposition_count,Opposition_terms,Other_count,Other_terms
0,"students, legal, student, measures, children",37,11,"parents, legal, measures, diploma, adolescents, children, education, olds, particular, role, role parents, year, year olds, age, capacity",0,,26,"students, student, law, studies, food, needs, opportunity, people, regulation, situation, student food, today, young, young people, beginning"
1,"question, 2017, number, mr, research",19,0,,19,"question, 2017, minister, mr, number, mp, affairs, education, education research, member, religious, religious affairs, research, research religious, second",0,
2,"members, dear, colleagues, ladies gentlemen, ladies",17,7,"mag, members, fellow, fellow members, gentlemen, ladies, ladies gentlemen, attended, attended following, dear, dear fellow, following, following member, informed, informed today",0,,10,"colleagues, hall, dear, come, dear colleagues, come hall, return, return hall, asking, asking come"
3,"republic, assembly republic, assembly, decree, law",16,11,"republic, assembly, assembly republic, decree, decree assembly, xv, message, president, promulgation, 127, 127 xv, 136, 2018, accordance, accordance article",1,,4,
4,"want, school, time, just, castle",15,1,,0,,14,"want, catalan, naturality, school, better, knowledge, linguistic, model, catalan school, conflict, education, language, obviously, castle, compulsory"
5,"discussion, going, popularity, important, decision",13,1,,0,,12,"discussion, going, decision, important, make, popularity, vote"
