group,n_speeches,overall_sentiment_mean,overall_sentiment_std,ORG_sentiment_mean,ORG_sentiment_std,ORG_n_speeches,ORG_total_mentions,LOC_sentiment_mean,LOC_sentiment_std,LOC_n_speeches,LOC_total_mentions,MISC_sentiment_mean,MISC_sentiment_std,MISC_n_speeches,MISC_total_mentions
Government,8,0.9613879016602027,0.07784753862393398,1.0,0.0,8,49,0.9598877003247088,0.04632561417226235,4,28,0.9542778078944254,0.07163791561685469,5,28
Opposition,8,0.7764690873332667,0.2573511400913943,0.8383962161415991,0.2505755882574297,7,38,0.48932923695279495,0.4967482041509938,5,17,0.7846263239470621,0.20779716116905442,4,15
