group,n_speeches,overall_sentiment_mean,overall_sentiment_std,ORG_sentiment_mean,ORG_sentiment_std,ORG_n_speeches,ORG_total_mentions,LOC_sentiment_mean,LOC_sentiment_std,LOC_n_speeches,LOC_total_mentions,MISC_sentiment_mean,MISC_sentiment_std,MISC_n_speeches,MISC_total_mentions
Government,2,0.9239554147828709,0.10754328375910054,1.0,0.0,2,10,1.0,,1,1,,,0,0
Opposition,3,0.896530207932241,0.13793650887961897,0.8659857660531998,0.2321194621332798,3,9,,,0,0,0.47153227031230927,0.41515111505906666,2,4
